distance_m,elapsed_time_s,elevation_gain_m,mean_km_per_week,mean_training_days_per_week,gender_binary
24742.6,14029,1166.3,42.844456056338025,3.352112676056338,0.0
30432.4,13174,856.4,26.98636307692308,2.253846153846154,1.0
7332.8,2455,60.9,49.3882,3.730769230769231,0.0
11812.6,3365,293.8,31.59922336065574,2.2991803278688523,0.0
10189.6,2962,32.0,42.844456056338025,3.352112676056338,0.0
7187.0,4585,619.4,34.012607547169814,2.3867924528301887,0.0
0.0,1,0.0,85.69425923913043,6.603260869565218,0.0
8539.4,3096,61.0,16.821094690265486,1.5575221238938053,1.0
11004.1,4008,105.5,49.3882,3.730769230769231,0.0
4211.6,1288,9.0,29.39113129251701,2.3537414965986394,0.0
12529.1,3720,269.0,39.80332666666666,3.097435897435897,0.0
8157.1,2472,73.9,35.89793122807018,3.0,1.0
14053.5,3803,128.0,53.43195760869565,6.467391304347826,0.0
14014.4,4097,62.3,34.08691495327103,2.7009345794392523,0.0
6417.0,2598,129.7,32.334054651162795,2.9186046511627906,0.0
10915.7,3168,6.0,15.657205555555556,2.1333333333333333,0.0
12112.5,3773,169.7,23.269285263157897,2.205263157894737,0.0
15158.1,5049,49.0,56.77293787878788,5.303030303030303,1.0
9500.0,3234,44.7,28.74646322580645,2.832258064516129,1.0
10370.1,2835,33.9,25.654456310679613,2.8640776699029127,0.0
9939.0,2369,95.0,28.338354444444445,2.3222222222222224,0.0
10020.2,3014,66.5,22.38862075471698,1.981132075471698,0.0
15091.6,4748,77.0,39.80332666666666,3.097435897435897,0.0
10064.7,3091,30.2,21.128724242424244,2.242424242424242,0.0
10789.6,3456,173.7,49.11117622377622,4.65034965034965,0.0
17679.0,5772,273.6,27.996817535545024,2.720379146919431,0.0
4095.6,1352,7.0,32.60410541516246,2.9025270758122743,0.0
21141.5,7001,144.6,29.195438216560508,2.394904458598726,0.0
10810.0,3603,62.0,39.80332666666666,3.097435897435897,0.0
8656.0,1803,146.0,85.69425923913043,6.603260869565218,0.0
9198.9,3334,69.9,28.314677215189874,2.1265822784810124,0.0
7220.2,2537,47.5,26.155980451127817,2.5864661654135337,
7764.0,3201,243.0,27.996817535545024,2.720379146919431,0.0
12999.8,4343,113.3,49.3882,3.730769230769231,0.0
8552.7,3284,3.0,35.52483238434164,2.6334519572953736,0.0
3740.7,1432,18.0,26.86536751592357,2.738853503184713,0.0
10695.0,3756,35.8,35.52483238434164,2.6334519572953736,0.0
11212.7,4777,290.0,26.98636307692308,2.253846153846154,1.0
15639.0,5316,504.2,23.269285263157897,2.205263157894737,0.0
11206.2,4268,132.0,49.44068368794326,4.404255319148936,0.0
10133.0,3348,156.3,29.195438216560508,2.394904458598726,0.0
4892.0,1259,23.5,33.352265263157896,3.594736842105263,1.0
14222.9,6216,443.0,26.86536751592357,2.738853503184713,0.0
7110.8,2702,0.0,35.00285864197531,4.203703703703703,0.0
15411.8,5895,163.2,28.314677215189874,2.1265822784810124,0.0
13725.1,3634,95.5,35.00285864197531,4.203703703703703,0.0
11086.5,3436,51.0,54.92121412429378,4.203389830508475,0.0
2552.2,514,14.5,53.42917714285715,3.4761904761904763,0.0
9055.4,2868,112.0,28.338354444444445,2.3222222222222224,0.0
11065.4,3540,35.0,54.92121412429378,4.203389830508475,0.0
4167.8,1116,2.0,10.871436170212766,1.6170212765957446,0.0
6177.7,2474,14.6,24.43524147465438,2.3317972350230414,0.0
12532.4,3603,18.0,74.60554748201439,5.532374100719425,0.0
9039.8,2667,28.7,23.269285263157897,2.205263157894737,0.0
0.0,2806,0.0,22.89576303317536,2.3696682464454977,0.0
8070.0,2659,117.0,56.77293787878788,5.303030303030303,1.0
14243.1,4425,51.0,26.820742545454547,2.3854545454545453,0.0
13331.2,3453,75.9,85.69425923913043,6.603260869565218,0.0
3181.6,951,1.0,15.657205555555556,2.1333333333333333,0.0
8074.7,2690,95.9,35.51523975903615,3.108433734939759,1.0
18001.5,5055,305.0,26.455639781021898,3.062043795620438,0.0
7959.1,2954,27.5,25.654456310679613,2.8640776699029127,0.0
42243.6,13929,236.0,56.77293787878788,5.303030303030303,1.0
2646.4,989,23.0,25.767520512820514,2.9786324786324787,0.0
23221.4,6300,202.8,53.42917714285715,3.4761904761904763,0.0
2186.0,562,20.0,27.996817535545024,2.720379146919431,0.0
16967.0,8239,815.0,32.60410541516246,2.9025270758122743,0.0
21169.0,7210,338.0,20.846510169491523,2.016949152542373,0.0
4783.8,1822,50.0,49.44068368794326,4.404255319148936,0.0
1764.1,533,15.9,53.12736193548387,4.909677419354839,0.0
10617.9,3146,24.3,31.59922336065574,2.2991803278688523,0.0
14051.2,4146,370.0,49.88999083333333,4.204166666666667,0.0
9841.9,3291,106.7,49.3882,3.730769230769231,0.0
11749.9,3415,156.0,51.48175508474576,3.889830508474576,0.0
11639.3,3996,12.0,20.846510169491523,2.016949152542373,0.0
15555.4,4381,41.0,49.88999083333333,4.204166666666667,0.0
6015.0,2994,182.2,21.128724242424244,2.242424242424242,0.0
8043.3,2506,38.0,26.820742545454547,2.3854545454545453,0.0
10028.9,3139,250.0,32.60410541516246,2.9025270758122743,0.0
2190.8,855,51.2,49.3882,3.730769230769231,0.0
8280.4,2600,187.0,27.563100925925923,2.1296296296296298,1.0
4797.0,1775,22.0,23.269285263157897,2.205263157894737,0.0
