distance_m;elapsed_time_s;elevation_gain_m;mean_km_per_week;mean_training_days_per_week;gender_binary;level
4980;1100;49,4;32,91861949;2,861538462;0;3
4980;1290;27,2;27,38660654;2,411214953;0;2
4980;1607;25,3;31,64926337;2,238683128;0;3
4979,9;2593;0;32,79745989;2,962566845;1;2
4978,9;1810;10,6;32,40464657;2,783393502;0;2
4977,8;1810;12;29,28912177;2,306122449;0;2
4976,3;2832;191,1;33,13721136;2,352272727;0;2
4976,2;1326;13;29,28912177;2,306122449;0;2
4975,8;1932;0;32,79745989;2,962566845;1;2
4975,4;1231;3;52,1345837;5,75;0;3
4974;3872;212;32,40464657;2,783393502;0;2
4973,6;1801;13,7;20,18033043;2,277173913;1;2
4973;1675;62;15,38307037;1,888888889;1;2
4972,9;1188;38;25,59271481;2,101851852;0;2
4972,9;1758;29,5;16,18071008;1,823529412;1;2
4972,8;2416;85,3;10,1607625;1,464285714;1;1
4972,6;1809;28,8;23,41419492;1,949152542;0;2
4972;1515;28,7;35,01329236;3,649681529;0;3
4971,5;1324;8;25,96158194;2,656387665;0;2
4971,2;1867;35;26,47819712;2,49201278;0;2
4970,5;1435;0;53,31155238;3,428571429;0;3
4970;1045;65,4;48,46767133;4,251748252;0;3
4967,8;2474;48;26,42394618;2,145454545;0;2
4967,2;1508;50,8;35,55126737;2,78245614;1;3
4967;3678;358,6;15,38307037;1,888888889;1;2
4965;2064;21;15,43187159;1,869318182;0;2
4963,7;1190;16;21,43150709;1,724409449;0;2
4963,1;1812;11;15,65447328;1,948275862;1;2
4962,2;1080;60,3;48,46767133;4,251748252;0;3
4960,2;2222;62,3;10,91062093;1,534883721;1;2
4959,2;1132;15;26,42394618;2,145454545;0;2
4959,2;1976;59,7;17,062791;1,91;1;2
4959,1;1839;6;15,43187159;1,869318182;0;2
4959,1;2400;0;27,11409602;2,462686567;0;2
4957,9;1987;0;13,65746667;1,587301587;0;2
4957,4;2230;43,6;30,0347156;2,770642202;1;2
4957;1161;49,7;28,21866111;2,272222222;0;2
4957;2237;7;30,0347156;2,770642202;1;2
4956,8;1018;42;52,1345837;5,75;0;3
4956,7;1993;40;24,57898271;2,247663551;0;2
4956,3;1820;37,4;39,94094043;3,468085106;1;3
4956,1;2075;439,4;30,50147568;2,8;1;2
4956;3339;398;37,90207398;3,520325203;0;2
4954,4;1375;0;49,83286849;3,903361345;0;3
4953,1;1590;45,7;35,55126737;2,78245614;1;3
4952;3338;299,2;30,0347156;2,770642202;1;2
4950;1553;63;34,30544052;2,758169935;0;2
4949,4;1725;11;20,18033043;2,277173913;1;2
4949,1;2067;0;9,779634615;1,5;0;1
4945,1;1878;74;15,65447328;1,948275862;1;2
4944;1463;62,4;15,38307037;1,888888889;1;2
4944;1551;5;49,83286849;3,903361345;0;3
4941,7;1911;39,4;23,4131;2,106382979;0;2
